t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma,input_sigma_diff,object_gui_scanned_mug_x,object_gui_scanned_mug_y,object_gui_scanned_mug_z
0.248,0.0,0.0,0.01599355865867629,0.3074938533319226,0.0035039263677923826,0.0869199636566746,0.30143451964565376,0.0025968143592088166,0.13940887672635457,0.24200819450055291,0.0012641752349179093,0.015325365751740795,0.3074938533319226,0.0035115763197480676,0.07526724981860834,0.2978184541068005,0.00269113019955525,0.18562161411724384,0.2978184541068005,0.0013897262751860588,0.031855500131104136,0.30143451964565376,0.0032442023796824277,0.04480546113710681,0.23723929135208133,0.0023223033454002847,0.14385891211011734,0.23439332391965625,0.0011198507671214342,8.0,0.0,0.045,0.125,0.09
0.25,0.0,0.0,0.01649901048384325,0.3074938533319226,0.0034980035360789555,0.08882569685939368,0.30143451964565376,0.00257417467186775,0.14217319973007883,0.24200819450055291,0.00123119181329038,0.015799148904606975,0.3074938533319226,0.003506021850962181,0.07699742599680597,0.2978184541068005,0.0026706144514583065,0.18925377753554967,0.2978184541068005,0.0013463620798746803,0.032638419322921566,0.30143451964565376,0.003234948234174596,0.04591309578831525,0.23723929135208133,0.0023092059625796943,0.14665901261589637,0.23439332391965625,0.001086412941714467,8.0,0.0,0.045,0.125,0.09
0.252,0.0,0.0,0.017016530815772014,0.3074938533319226,0.0034919381141769517,0.09075025531941511,0.30143451964565376,0.002551305873435121,0.1449524409986527,0.24200819450055291,0.001198019937245689,0.016284014469554596,0.3074938533319226,0.003500336453127787,0.07874799072432821,0.2978184541068005,0.0026498523373199344,0.19290331970063657,0.2978184541068005,0.0013027761188550103,0.03343312653987786,0.30143451964565376,0.0032255532038727866,0.04703692690147731,0.23723929135208133,0.002295914346765193,0.14947186118659617,0.23439332391965625,0.0010528117356451187,8.0,0.0,0.045,0.125,0.09
0.254,0.0,0.0,0.01754630662473971,0.3074938533319226,0.003485727870193807,0.09269336872395989,0.30143451964565376,0.002528211171914864,0.1477458106686863,0.24200819450055291,0.0011646690420228025,0.01678013540381671,0.3074938533319226,0.003494518066348416,0.08051879873423136,0.2978184541068005,0.002628845560589668,0.1965691345115224,0.2978184541068005,0.0012589816128739675,0.03423966997662866,0.30143451964565376,0.003216016717269311,0.048176962552376315,0.23723929135208133,0.0022824283734072482,0.15229658774463575,0.23439332391965625,0.001019057552796721,8.0,0.0,0.045,0.125,0.09
0.256,0.0,0.0,0.01808852580050636,0.3074938533319226,0.0034793705604861946,0.0946547638133073,0.30143451964565376,0.0025048938110603263,0.15055251553351917,0.24200819450055291,0.0011311486059823992,0.017287685921176153,0.3074938533319226,0.00348856461513727,0.08230970141109493,0.2978184541068005,0.0026075958644708303,0.20025011186547956,0.2978184541068005,0.0012149918351433376,0.03505809838947684,0.30143451964565376,0.0032063381960283016,0.04933320843833419,0.23723929135208133,0.0022687479455964603,0.15513231942693342,0.23439332391965625,0.000985160834100246,8.0,0.0,0.045,0.125,0.09
0.258,0.0,0.0,0.018643377091982664,0.3074938533319226,0.0034728639303769947,0.09663416441370563,0.30143451964565376,0.0024813570699881576,0.1533717592943916,0.24200819450055291,0.001097468147604405,0.01780684144870931,0.3074938533319226,0.0034824740089289576,0.08412054675613719,0.2978184541068005,0.002586105032348467,0.203945138029536,0.2978184541068005,0.0011708201068958517,0.03588846108864815,0.30143451964565376,0.0031965170550741235,0.05050566780357813,0.23723929135208133,0.0022548729949649657,0.15797818088752666,0.23439332391965625,0.000951132053912674,8.0,0.0,0.045,0.125,0.09
0.26,0.0,0.0,0.019211050046322117,0.3074938533319226,0.003466205714879279,0.09863129147102398,0.30143451964565376,0.0024576042627833775,0.1562027428124984,0.24200819450055291,0.0010636372224739358,0.01833777858291681,0.3074938533319226,0.0034762441425985596,0.08595117935314683,0.2978184541068005,0.00256437488820796,0.20765309601301937,0.2978184541068005,0.0011264797929271741,0.03673080793020185,0.30143451964565376,0.0031865527026840677,0.05169434136514001,0.23723929135208133,0.0022408034825820385,0.16083329460089846,0.23439332391965625,0.0009169817163855551,8.0,0.0,0.045,0.125,0.09
0.262,0.0,0.0,0.019791734947447195,0.3074938533319226,0.0034593936394272055,0.10064586308515108,0.30143451964565376,0.0024336387380955575,0.15904466436184217,0.24200819450055291,0.001029665420256654,0.018880675045240176,0.3074938533319226,0.0034698728969880695,0.0878014403352712,0.2978184541068005,0.0025424072970438444,0.21137286594101312,0.2978184541068005,0.0010819842971253738,0.03758518930756799,0.30143451964565376,0.0031764445405854233,0.05289922723933784,0.23723929135208133,0.002226539399843296,0.1636967811658987,0.23439332391965625,0.0008827203518250936,8.0,0.0,0.045,0.125,0.09
0.264,0.0,0.0,0.02038562275401934,0.3074938533319226,0.0034524254206137047,0.10267759454514742,0.30143451964565376,0.002409463878726032,0.16189671988280177,0.24200819450055291,0.000995562361664529,0.0194357096369635,0.3074938533319226,0.003463358139440189,0.08967116735270053,0.2978184541068005,0.002520204165258352,0.21510332542859334,0.2978184541068005,0.0010373470579894488,0.038451656142702906,0.30143451964565376,0.0031661919640570296,0.054120320868888225,0.23723929135208133,0.0022120807693529216,0.16656775961014916,0.23439332391965625,0.0008483585130450907,8.0,0.0,0.045,0.125,0.09
0.266,0.0,0.0,0.020992905036862738,0.3074938533319226,0.003445298766934839,0.1047261983651561,0.30143451964565376,0.002385083101206076,0.16475810323633305,0.24200819450055291,0.0009613376954130138,0.020003062193499378,0.3074938533319226,0.003456697724339509,0.09156019454128836,0.2978184541068005,0.0024977674410492,0.21884334995571464,0.2978184541068005,0.0009925815441384862,0.03933025987685473,0.30143451964565376,0.0031557943620354103,0.05535761495069895,0.23723929135208133,0.0021974276457983172,0.16944534769482048,0.23439332391965625,0.0008139067717140851,8.0,0.0,0.045,0.125,0.09
