t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_1,qref_joint_1,tau_joint_1,input_sigma,input_sigma_diff
0.222,0.0,0.0,0.13061663053183953,0.6387311308541169,0.006139716732570929,0.3005410367838087,0.6310687913397526,0.00405066941001114,7.5,0.0
0.224,0.0,0.0,0.13420503554444208,0.6387311308541169,0.006097374003867328,0.30763935678261717,0.6310687913397526,0.003966333054671326,7.5,0.0
0.226,0.0,0.0,0.13785328014986575,0.6387311308541168,0.006054313143716097,0.314805850563382,0.6310687913397525,0.0038811532146856235,7.499999999999999,0.0
0.228,0.0,0.0,0.14156135525056338,0.638731130854117,0.006010534208451016,0.3220383829528099,0.6310687913397526,0.003795155289316447,7.500000000000001,0.0
0.23,0.0,0.0,0.14532924716159346,0.6387311308541169,0.005966037307242643,0.32933480093944606,0.6310687913397526,0.003708364900643312,7.5,0.0
0.232,0.0,0.0,0.14915693742548775,0.6387311308541169,0.005920822604310282,0.3366929344094682,0.6310687913397526,0.0036208078848036784,7.5,0.0
0.234,0.0,0.0,0.15304440262641092,0.6387311308541168,0.005874890321143549,0.3441105968880755,0.6310687913397525,0.0035325102831634115,7.499999999999999,0.0
0.23600000000000002,0.0,0.0,0.15699161420370925,0.6387311308541169,0.005828240738732472,0.3515855862862025,0.6310687913397526,0.003443498333420125,7.5,0.0
0.23800000000000002,0.0,0.0,0.1609985382649458,0.6387311308541169,0.005780874199804892,0.3591156856522862,0.6310687913397526,0.0033537984606426007,7.5,0.0
0.24,0.0,0.0,0.16506513539852002,0.6387311308541169,0.005732791111070053,0.3666986639288122,0.6310687913397526,0.0032634372682495967,7.5,0.0
0.242,0.0,0.0,0.16919136048597022,0.638731130854117,0.005683991945467164,0.37433227671336494,0.6310687913397526,0.003172441528931285,7.500000000000001,0.0
0.244,0.0,0.0,0.17337716251405796,0.6387311308541169,0.005634477244417761,0.38201426702390456,0.6310687913397526,0.003080838175516652,7.5,0.0
0.246,0.0,0.0,0.17762248438673367,0.6387311308541169,0.005584247620080707,0.3897423660679915,0.6310687913397526,0.002988654291790176,7.5,0.0
0.248,0.0,0.0,0.1819272627370833,0.6387311308541168,0.005533303757608598,0.39751429401567967,0.6310687913397525,0.0028959171032611314,7.499999999999999,0.0
0.25,0.0,0.0,0.18629142773935609,0.638731130854117,0.005481646417404405,0.4053277607757956,0.6310687913397526,0.002802653967888875,7.500000000000001,0.0
0.252,0.0,0.0,0.190714902921174,0.6387311308541169,0.00542927643737713,0.41318046677532216,0.6310687913397526,0.002708892366767484,7.5,0.0
0.254,0.0,0.0,0.19519760497602318,0.6387311308541169,0.005376194735195315,0.42107010374160236,0.6310687913397526,0.002614659894773165,7.5,0.0
0.256,0.0,0.0,0.1997394435761288,0.6387311308541169,0.005322402310537125,0.4289943554870787,0.6310687913397526,0.002519984251177803,7.5,0.0
0.258,0.0,0.0,0.20434032118581383,0.6387311308541169,0.005267900247335857,0.436950898696283,0.6310687913397526,0.0024248932302320864,7.5,0.0
0.26,0.0,0.0,0.20900013287544342,0.6387311308541169,0.005212689716019637,0.4449374037147894,0.6310687913397526,0.002329414711721635,7.5,0.0
0.262,0.0,0.0,0.21371876613605595,0.6387311308541169,0.005156771975744083,0.4529515353398446,0.6310687913397526,0.002233576651499558,7.5,0.0
0.264,0.0,0.0,0.218496100694782,0.6387311308541169,0.005100148376616731,0.4609909536123868,0.6310687913397526,0.0021374070719988956,7.5,0.0
0.266,0.0,0.0,0.2233320083311529,0.6387311308541169,0.005042820361912019,0.46905331461016564,0.6310687913397526,0.0020409340527283897,7.5,0.0
0.268,0.0,0.0,0.22822635269439978,0.6387311308541169,0.004984789470275568,0.47713627124167507,0.6310687913397526,0.0019441857207550433,7.5,0.0
0.27,0.0,0.0,0.23317898912184465,0.638731130854117,0.004926057337916607,0.48523747404060963,0.6310687913397526,0.00184719024117693,7.500000000000001,0.0
0.272,0.0,0.0,0.23818976445848458,0.6387311308541169,0.004866625700787267,0.49335457196055627,0.6310687913397526,0.0017499758075897153,7.5,0.0
0.274,0.0,0.0,0.2432585168778697,0.6387311308541169,0.004806496396747588,0.501485213169632,0.6310687913397526,0.0016525706325503558,7.5,0.0
0.276,0.0,0.0,0.24838507570437604,0.6387311308541169,0.004745671367714967,0.5096270458447796,0.6310687913397526,0.0015550029380414468,7.5,0.0
0.278,0.0,0.0,0.25356926123697343,0.638731130854117,0.004684152661796892,0.5177777189654313,0.6310687913397526,0.001457300945939676,7.500000000000001,0.0
0.28,0.0,0.0,0.25881088457458895,0.6387311308541169,0.004621942435405722,0.5259348831062545,0.6310687913397526,0.0013594928684918547,7.5,0.0
