t,ncon,contact_force_total,q_joint_0,qref_joint_0,tau_joint_0,q_joint_3,qref_joint_3,tau_joint_3,q_joint_4,qref_joint_4,tau_joint_4,q_joint_1,qref_joint_1,tau_joint_1,q_joint_5,qref_joint_5,tau_joint_5,q_joint_6,qref_joint_6,tau_joint_6,q_joint_2,qref_joint_2,tau_joint_2,q_joint_7,qref_joint_7,tau_joint_7,q_joint_8,qref_joint_8,tau_joint_8,input_sigma_close,input_sigma_adapt
0.06,0.0,0.0,4.5475793323155494e-05,0.07133857397300604,0.0004277858895644198,0.0005259970865131326,0.06993280855779167,0.000416750606051392,0.000950773914802758,0.05614590112412828,0.0003317294330884258,4.819083738720444e-05,0.07133857397300604,0.0004277711167273217,0.00042518975956823814,0.06909388135277772,0.0004122628755123676,0.0012842867861439457,0.06909388135277772,0.00040761201949802154,0.0001668395116145343,0.06993280855779167,0.00041869429946817454,0.0002245976553580113,0.05503951559368287,0.00032902229206056887,0.0010013983106241448,0.05437925114936026,0.00032085532118474096,1.856,0.0
0.062,0.0,0.0,5.036093770229897e-05,0.07379852479966141,0.00044251829403802953,0.0005812245066365935,0.0723442847149569,0.0004309097257706626,0.0010503472045048428,0.0580819666801327,0.00034278715659197967,5.3343850381977205e-05,0.07379852479966141,0.00044250200377364524,0.0004699068302506754,0.07147642898563213,0.0004263074353563834,0.0014187486438104592,0.07147642898563213,0.00042115285319692906,0.00018440784709549646,0.0723442847149569,0.0004330646712200542,0.0002482911979173587,0.056937429924499516,0.000340276993614849,0.0011062285319410477,0.0562543977407175,0.00033151799658056013,1.92,0.0
0.064,0.0,0.0,5.559469969188414e-05,0.0762584756263168,0.00045724868813168694,0.0006401762967347753,0.07475576087212213,0.0004450472181929132,0.0011565914162491187,0.06001803223613712,0.00035380611018979367,5.886057004701293e-05,0.0762584756263168,0.00045723079065560895,0.0005176522972049905,0.07385897661848653,0.00044033441872941514,0.0015622118777689647,0.07385897661848653,0.0004346413678480564,0.0002031698064412429,0.07475576087212213,0.0004474281181501598,0.00027360192385712,0.05883534425531617,0.00035152231834439284,0.0012180740732776185,0.05812954433207475,0.00034213989480080223,1.984,0.0
0.066,0.0,0.0,6.119085318245713e-05,0.07871842645297218,0.00047197699051968183,0.0007029720387893409,0.07716723702928736,0.0004591623643953155,0.0012697148456202732,0.061954097792141546,0.00036478503825535457,6.475485757770598e-05,0.07871842645297218,0.000471957395297551,0.000568525109974533,0.07624152425134094,0.0004543432317248157,0.0017149566204131463,0.07624152425134094,0.0004480758742414319,0.00022316491345970865,0.07716723702928736,0.00046178440333707676,0.00030058434971759804,0.06073325858613282,0.0003627579399736542,0.001337152935766243,0.060004690923432004,0.0003527197011009263,2.048,0.0
0.068,0.0,0.0,6.716339866622226e-05,0.08117837727962757,0.00048670311855867064,0.0007697310684035343,0.0795787131864526,0.00047325444688597955,0.001389924781830899,0.06389016334814597,0.0003757226910151542,7.104076197260388e-05,0.08117837727962757,0.00048668173453229917,0.0006226241815697108,0.07862407188419535,0.0004683332806453249,0.0018772615572852096,0.07862407188419535,0.0004614546915826932,0.00024443273013082775,0.0795787131864526,0.00047613328963795734,0.00032929313319561814,0.06263117291694947,0.0003739835314033913,0.001463681962226958,0.06187983751478925,0.00036325610747413805,2.112,0.0
0.07,0.0,0.0,7.352657020145205e-05,0.08363832810628295,0.0005014269882457004,0.0008405724669196125,0.08199018934361783,0.00048732274965128587,0.0015174274770117133,0.0658262289041504,0.000386617824733917,7.773252590036653e-05,0.08363832810628295,0.000501403724065862,0.0006800483867870796,0.08100661951704975,0.0004823039720128803,0.002049403883071511,0.08100661951704975,0.00047477614775858726,0.00026701285787641624,0.08199018934361783,0.000490474539680922,0.00035978307694997864,0.06452908724776613,0.0003851987646874231,0.0015978768020164886,0.06375498410614651,0.0003737478128635173,2.176,0.0
0.07200000000000001,0.0,0.0,8.029484234417014e-05,0.08609827893293834,0.0005161485141764214,0.0009156150535426222,0.08440166550078307,0.0005013665582031808,0.0016524281156682277,0.06776229446015482,0.00039746920189885865,8.484459154842018e-05,0.08609827893293834,0.0005161232784422279,0.0007408965604812382,0.08338916714990416,0.0004962547125787025,0.0022316592578512664,0.08338916714990416,0.0004880385796009959,0.00029094493883351805,0.08440166550078307,0.0005048079158574399,0.00039210913233639864,0.06642700157858278,0.00039640331100979683,0.0017399518760871885,0.06563013069750376,0.00038419352337292357,2.24,0.0
0.074,0.0,0.0,8.748293704613639e-05,0.08855822975959371,0.0005308676095034972,0.0009949773774707384,0.08681314165794829,0.000515385159626434,0.001795130784308837,0.06969836001615924,0.00040827559140294614,9.239160645273469e-05,0.08855822975959371,0.0005308403110082717,0.0008052674957881954,0.08577171478275857,0.000510184909333664,0.0024243017636058728,0.08577171478275857,0.0005012403331494438,0.00031626865713128605,0.08681314165794829,0.0005191331803146887,0.0004263264030699351,0.06832491590939943,0.00040759684066237823,0.0018901203422621166,0.06750527728886101,0.0003945919524766429,2.3040000000000003,0.0
0.076,0.0,0.0,9.510583051816961e-05,0.09101818058624908,0.0005455841858952177,0.0010787777100323833,0.08922461781511351,0.0005293778426258566,0.0019457384412492748,0.07163442557216367,0.000419035768727129,0.00010038842930815301,0.09101818058624908,0.0005455547338787781,0.0008732599422988927,0.08815426241561294,0.0005240939695189485,0.002627603860996326,0.08815426241561294,0.0005143797639120424,0.000343023740171468,0.08922461781511351,0.0005334500949478934,0.000462490148812859,0.07022283024021607,0.00041877902302287683,0.0020485940607324485,0.06938042388021824,0.00040494182122773677,2.368,0.0
0.078,0.0,0.0,0.00010317876005784936,0.09347813141290447,0.0005602981534943178,0.0011671340368303448,0.09163609397227875,0.0005433438975734782,0.0021044528865983387,0.07357049112816809,0.0004297485161215129,0.0001088501357587031,0.09347813141290447,0.0005602664579015779,0.000944972604181584,0.09053681004846735,0.0005379813006370107,0.002841836346416177,0.09053681004846735,0.0005274552371248262,0.00037124995991256305,0.09163609397227875,0.0005477584213926437,0.0005006557886860029,0.07212074457103272,0.00042994952653331917,0.0022155835597833743,0.0712555704715755,0.0004152418584650584,2.432,0.0
